Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
University Main Campuses,Ohio University,Business,Marketing,Less than One-Year Award,18,4,16,27,38,44,77,65,60,65
University Main Campuses,Ohio University,Business,Marketing,Master's Degree,9,9,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Business,Marketing,Post-Baccalaureate Certificate,0,3,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Education,Counseling,Doctoral Degree - Research|Scholarship,6,4,9,5,5,6,11,8,5,2
University Main Campuses,Ohio University,Education,Counseling,Master's Degree,31,28,55,37,47,63,47,51,81,43
University Main Campuses,Ohio University,Education,Education Administration,Doctoral Degree - Research|Scholarship,2,5,9,14,6,18,11,9,5,8
University Main Campuses,Ohio University,Education,Education Administration,Master's Degree,49,35,70,24,87,18,51,19,72,39
University Main Campuses,Ohio University,Education,Education Assessment and Research,Doctoral Degree - Research|Scholarship,2,1,5,1,0,3,3,0,1,1
University Main Campuses,Ohio University,Education,Education Assessment and Research,Master's Degree,0,0,1,6,2,0,1,1,1,0
University Main Campuses,Ohio University,Education,"Education, Other",Doctoral Degree - Research|Scholarship,16,7,15,11,6,16,12,21,11,15
University Main Campuses,Ohio University,Education,"Education, Other",Master's Degree,56,34,22,15,24,35,49,26,67,17
University Main Campuses,Ohio University,Education,Elementary and Early Education,Bachelor's Degree,248,184,240,209,163,148,114,115,83,147
University Main Campuses,Ohio University,Education,Elementary and Early Education,Doctoral Degree - Research|Scholarship,2,1,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Education,Elementary and Early Education,Master's Degree,13,22,20,16,7,11,9,6,4,3
University Main Campuses,Ohio University,Education,Foreign Language Education,Bachelor's Degree,0,0,14,16,9,7,11,9,13,7
University Main Campuses,Ohio University,Education,Middle School and Junior High Education,Doctoral Degree - Research|Scholarship,0,0,1,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Education,Middle School and Junior High Education,Master's Degree,0,0,5,4,5,4,6,10,6,4
University Main Campuses,Ohio University,Education,Science and Math Education,Doctoral Degree - Research|Scholarship,0,0,3,0,0,1,0,2,2,2
University Main Campuses,Ohio University,Education,Science and Math Education,Master's Degree,0,1,3,0,1,0,0,2,1,0
University Main Campuses,Ohio University,Education,Secondary Education and Teaching,Bachelor's Degree,201,254,250,295,266,276,281,236,231,218
University Main Campuses,Ohio University,Education,Secondary Education and Teaching,Doctoral Degree - Research|Scholarship,8,7,0,0,0,0,0,1,0,0
University Main Campuses,Ohio University,Education,Secondary Education and Teaching,Master's Degree,15,7,1,0,0,0,0,0,5,10
University Main Campuses,Ohio University,Education,Special Education,Bachelor's Degree,23,29,28,35,29,34,34,29,37,34
University Main Campuses,Ohio University,Education,Special Education,Doctoral Degree - Research|Scholarship,1,0,0,1,0,0,2,2,0,1
University Main Campuses,Ohio University,Education,Special Education,Master's Degree,38,22,45,22,38,14,48,23,24,24
University Main Campuses,Ohio University,Education,Specialized Teacher Education,Bachelor's Degree,3,0,5,4,3,6,1,0,0,0
University Main Campuses,Ohio University,Education,Specialized Teacher Education,Doctoral Degree - Research|Scholarship,0,0,0,0,2,2,2,2,0,0
University Main Campuses,Ohio University,Education,Specialized Teacher Education,Master's Degree,0,0,8,10,7,19,13,4,20,19
University Main Campuses,Ohio University,Engineering,Aviation,Associate Degree,0,0,1,0,1,1,0,1,2,3
University Main Campuses,Ohio University,Engineering,Aviation,Bachelor's Degree,19,23,34,35,37,38,25,23,26,19
University Main Campuses,Ohio University,Engineering,Chemical Engineering,Bachelor's Degree,30,27,27,15,7,10,13,6,22,27
University Main Campuses,Ohio University,Engineering,Chemical Engineering,Doctoral Degree - Research|Scholarship,5,5,1,1,1,2,2,4,5,5
University Main Campuses,Ohio University,Engineering,Chemical Engineering,Less than One-Year Award,0,0,0,0,0,0,2,1,7,13
University Main Campuses,Ohio University,Engineering,Chemical Engineering,Master's Degree,5,3,3,8,3,7,8,5,6,2
University Main Campuses,Ohio University,Engineering,Civil Engineering,Bachelor's Degree,19,44,36,34,33,30,43,30,39,29
University Main Campuses,Ohio University,Engineering,Civil Engineering,Master's Degree,10,7,9,8,6,8,6,7,7,10
University Main Campuses,Ohio University,Engineering,Electrical Engineering Technology,Associate Degree,0,0,0,0,0,1,0,0,0,0
University Main Campuses,Ohio University,Engineering,"Electrical, Electronics, and Communications Engineering",Bachelor's Degree,48,44,45,49,47,38,39,30,38,24
University Main Campuses,Ohio University,Engineering,"Electrical, Electronics, and Communications Engineering",Doctoral Degree - Research|Scholarship,5,3,4,4,9,8,5,4,5,3
University Main Campuses,Ohio University,Engineering,"Electrical, Electronics, and Communications Engineering",Master's Degree,18,19,26,18,17,11,9,21,13,19
University Main Campuses,Ohio University,Engineering,Environmental and Hazardous Materials Technology,Associate Degree,0,0,2,1,0,1,0,0,0,0
University Main Campuses,Ohio University,Engineering,Industrial and Manufacturing Technology,Bachelor's Degree,0,0,50,47,37,36,35,41,47,50
University Main Campuses,Ohio University,Engineering,"Mechanical, Industrial, and Manufacturing Engineering",Bachelor's Degree,53,62,54,63,53,60,64,67,46,55
University Main Campuses,Ohio University,Engineering,"Mechanical, Industrial, and Manufacturing Engineering",Master's Degree,21,12,48,43,52,32,36,23,16,34
University Main Campuses,Ohio University,Engineering,Other Engineering,Doctoral Degree - Research|Scholarship,1,5,5,3,6,2,4,4,2,2
University Main Campuses,Ohio University,Engineering,Other Engineering,Master's Degree,0,0,0,0,0,0,0,1,3,1
University Main Campuses,Ohio University,Health,Athletic Training,Bachelor's Degree,0,0,5,10,9,6,6,11,9,21
University Main Campuses,Ohio University,Health,Athletic Training,Master's Degree,0,0,18,11,11,10,20,15,19,21
University Main Campuses,Ohio University,Health,Communications Disorders,Associate Degree,0,0,1,0,0,0,0,0,1,0
University Main Campuses,Ohio University,Health,Communications Disorders,Bachelor's Degree,73,56,69,84,66,79,95,87,94,112
University Main Campuses,Ohio University,Health,Communications Disorders,Doctoral Degree - Professional Practice,0,0,0,0,0,0,0,0,7,5
University Main Campuses,Ohio University,Health,Communications Disorders,Doctoral Degree - Research|Scholarship,2,2,0,1,2,5,7,5,2,0
University Main Campuses,Ohio University,Health,Communications Disorders,Master's Degree,5,29,22,24,14,19,19,20,19,30
University Main Campuses,Ohio University,Health,Dietetics & Nutrition,Bachelor's Degree,0,0,16,8,14,16,18,20,14,14
University Main Campuses,Ohio University,Health,General Health/Public Health,Bachelor's Degree,0,0,10,11,23,24,13,16,18,18
University Main Campuses,Ohio University,Health,General Health/Public Health,Master's Degree,0,0,0,0,0,0,1,0,0,0
University Main Campuses,Ohio University,Health,Health Administration and Management,Bachelor's Degree,6,3,77,64,91,82,100,89,119,134
University Main Campuses,Ohio University,Health,Health Administration and Management,Master's Degree,0,0,5,2,2,7,7,5,8,55
University Main Campuses,Ohio University,Health,Health Administration and Management,Post-Baccalaureate Certificate,0,0,6,1,1,1,3,1,2,1
University Main Campuses,Ohio University,Health,Licensed Practical Nurse,Associate Degree,0,0,0,0,0,0,1,0,0,0
University Main Campuses,Ohio University,Health,Mental Health Services and Therapy,Bachelor's Degree,0,0,14,4,7,8,2,11,14,25
University Main Campuses,Ohio University,Health,Mental Health Services and Therapy,Master's Degree,0,0,0,0,0,1,0,1,1,1
University Main Campuses,Ohio University,Health,Mental Health Services and Therapy,Post-Baccalaureate Certificate,0,0,0,0,0,0,0,5,7,6
University Main Campuses,Ohio University,Health,"Nursing, Other",Master's Degree,0,0,0,0,0,0,1,1,0,0
University Main Campuses,Ohio University,Health,Osteopathic Medicine,Doctoral Degree - Professional Practice,94,104,102,97,104,104,106,103,110,109
University Main Campuses,Ohio University,Health,Other Health,Associate Degree,0,0,0,0,0,0,0,0,0,3
University Main Campuses,Ohio University,Health,Physical Therapy,Doctoral Degree - Professional Practice,0,0,0,0,0,0,0,0,34,40
University Main Campuses,Ohio University,Health,Physical Therapy,Doctoral Degree - Research|Scholarship,0,0,4,31,15,22,26,28,0,0
University Main Campuses,Ohio University,Health,Physical Therapy,Master's Degree,34,26,18,2,0,0,0,0,0,0
University Main Campuses,Ohio University,Health,Registered Nurse,Associate Degree,0,0,0,0,0,0,0,0,24,11
University Main Campuses,Ohio University,Health,Registered Nurse,Bachelor's Degree,41,36,45,27,36,58,65,121,112,456
University Main Campuses,Ohio University,Health,Registered Nurse,Master's Degree,0,0,0,0,4,3,24,11,20,24
University Main Campuses,Ohio University,Natural Science & Mathematics,"Agricultural Business, Operations & Management",Associate Degree,0,0,0,0,0,0,1,0,1,0
University Main Campuses,Ohio University,Natural Science & Mathematics,Biological and Biomedical Sciences,Bachelor's Degree,157,125,127,117,112,112,95,96,111,137
University Main Campuses,Ohio University,Natural Science & Mathematics,Biological and Biomedical Sciences,Doctoral Degree - Research|Scholarship,10,12,8,11,10,14,10,11,11,11
University Main Campuses,Ohio University,Natural Science & Mathematics,Biological and Biomedical Sciences,Master's Degree,14,6,6,10,11,10,9,5,4,7
University Main Campuses,Ohio University,Natural Science & Mathematics,Biological and Biomedical Sciences,Post-Baccalaureate Certificate,3,1,3,5,1,2,0,1,0,1
University Main Campuses,Ohio University,Natural Science & Mathematics,Chemistry,Bachelor's Degree,39,38,25,28,42,41,43,48,40,43
University Main Campuses,Ohio University,Natural Science & Mathematics,Chemistry,Doctoral Degree - Research|Scholarship,9,6,7,10,5,6,9,5,12,9
University Main Campuses,Ohio University,Natural Science & Mathematics,Chemistry,Master's Degree,6,4,2,7,0,0,4,1,1,0
University Main Campuses,Ohio University,Natural Science & Mathematics,Computer Science,Bachelor's Degree,39,39,42,38,35,74,106,123,133,172
University Main Campuses,Ohio University,Natural Science & Mathematics,Computer Science,Master's Degree,0,5,5,9,4,8,19,25,18,18
University Main Campuses,Ohio University,Natural Science & Mathematics,"Foresty, Wildlife, and Natural Resources",Master's Degree,0,0,16,21,17,17,11,19,19,8
University Main Campuses,Ohio University,Natural Science & Mathematics,"Foresty, Wildlife, and Natural Resources",Post-Baccalaureate Certificate,0,0,0,0,0,0,0,0,1,6
University Main Campuses,Ohio University,Natural Science & Mathematics,Geology and Hydrology,Bachelor's Degree,8,9,12,10,8,9,9,11,13,15
University Main Campuses,Ohio University,Natural Science & Mathematics,Geology and Hydrology,Master's Degree,4,4,8,7,5,9,7,5,7,8
University Main Campuses,Ohio University,Natural Science & Mathematics,Interdisciplinary Math & Science,Bachelor's Degree,0,1,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Natural Science & Mathematics,Mathematics and Statistics,Bachelor's Degree,15,15,18,18,13,22,15,10,21,15
University Main Campuses,Ohio University,Natural Science & Mathematics,Mathematics and Statistics,Doctoral Degree - Research|Scholarship,1,2,3,4,1,1,1,2,4,3
University Main Campuses,Ohio University,Natural Science & Mathematics,Mathematics and Statistics,Master's Degree,27,25,27,29,19,18,14,27,9,19
University Main Campuses,Ohio University,Natural Science & Mathematics,Physical Sciences,Bachelor's Degree,0,0,1,1,1,1,2,1,5,3
University Main Campuses,Ohio University,Natural Science & Mathematics,Physics,Bachelor's Degree,7,8,5,6,7,4,7,3,5,6
University Main Campuses,Ohio University,Natural Science & Mathematics,Physics,Doctoral Degree - Research|Scholarship,8,4,7,8,10,11,8,5,6,10
University Main Campuses,Ohio University,Natural Science & Mathematics,Physics,Master's Degree,9,9,13,9,11,9,5,2,4,5
University Main Campuses,Ohio University,Services,Culinary Arts,Bachelor's Degree,81,58,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Services,Culinary Arts,Master's Degree,29,14,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Services,Protective Services,Associate Degree,0,1,0,1,0,1,0,0,1,0
University Main Campuses,Ohio University,Services,Protective Services,Bachelor's Degree,51,63,49,41,44,40,30,29,45,47
University Main Campuses,Ohio University,Services,Sports and Recreation,Bachelor's Degree,326,293,180,233,266,233,247,237,278,245
University Main Campuses,Ohio University,Services,Sports and Recreation,Less than One-Year Award,19,20,0,0,0,0,0,0,0,0
University Main Campuses,Ohio University,Services,Sports and Recreation,Master's Degree,107,96,70,85,52,69,69,89,107,103
University Main Campuses,Ohio University,Services,Sports and Recreation,Post-Baccalaureate Certificate,6,0,0,0,0,0,1,0,0,0
University Main Campuses,Ohio University,Social & Behavioral Sciences,Anthropology,Bachelor's Degree,16,19,13,23,27,24,14,20,22,23
University Main Campuses,Ohio University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Bachelor's Degree,1,0,18,19,20,16,20,24,26,29
University Main Campuses,Ohio University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Less than One-Year Award,0,0,10,18,20,21,27,16,35,23
University Main Campuses,Ohio University,Social & Behavioral Sciences,"Area, Ethnic, Cultural, and Gender Studies",Master's Degree,0,0,43,46,44,23,40,43,45,29
University Main Campuses,Ohio University,Social & Behavioral Sciences,Economics (Social Science),Bachelor's Degree,46,46,35,48,31,30,27,26,26,30
University Main Campuses,Ohio University,Social & Behavioral Sciences,Economics (Social Science),Master's Degree,17,19,23,24,42,37,46,49,42,48
University Main Campuses,Ohio University,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,1,0,1,2,0,2,0,0,1,0
University Main Campuses,Ohio University,Social & Behavioral Sciences,Family and Consumer Studies,Bachelor's Degree,196,247,218,288,290,273,278,207,214,120
University Main Campuses,Ohio University,Social & Behavioral Sciences,Family and Consumer Studies,Master's Degree,8,2,19,2,7,9,8,6,8,8
University Main Campuses,Ohio University,Social & Behavioral Sciences,Geography,Bachelor's Degree,13,22,39,33,42,34,51,33,25,32
University Main Campuses,Ohio University,Social & Behavioral Sciences,Geography,Less than One-Year Award,0,0,0,0,1,1,0,0,0,0
University Main Campuses,Ohio University,Social & Behavioral Sciences,Geography,Master's Degree,19,12,9,12,12,6,6,7,15,6
